Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Czechia,CZE,2024,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11178591687.2639
Czechia,CZE,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,8448232510.75134
Czechia,CZE,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5672523810.72607
Czechia,CZE,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11544907218.4642
Czechia,CZE,2020,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2087297238.8459
Czechia,CZE,2019,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4776298838.70575
Czechia,CZE,2018,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,6079923725.38484
Czechia,CZE,2017,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,9400271878.68677
Czechia,CZE,2016,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3139202221.30692
Czechia,CZE,2015,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3726148788.79916
Czechia,CZE,2014,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4074227998.42192
Czechia,CZE,2013,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,7737558059.03538
Czechia,CZE,2012,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3252573385.00696
Czechia,CZE,2011,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1596185305.3604
Czechia,CZE,2010,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5249368446.62098
